LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-23 14:36:03,1900-01-00 00:00:00,,BA:AB:BE:34:00:00,-61, ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:03,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:03,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:03,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:03,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:03,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:03,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:03,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:04,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:04,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:04,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:04,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:04,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:04,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:04,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:04,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:04,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,,98:97:CC:96:F5:5D,-72,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 14:36:05,1900-01-00 00:00:00,,98:97:CC:96:F5:5D,-72,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 14:36:05,1900-01-00 00:00:00,Patrick,BA:AB:BE:34:00:00,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
